Food_ID,Food_Name,Category,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Glycemic_Index,GI_Category,Diabetes_Friendly,Vegetarian,Meal_Type,Average_Price_NPR
115,Mix Dry Fruits (Small Bowl),Snack,220,6.0,16,16.0,25,Low,Yes,Yes,Snack,200
116,Boiled Egg Curry,Meat,190,14.0,6,12.0,45,Low,Yes,No,"Lunch,Dinner",120
117,Mutton Curry (Moderate Oil),Meat,260,22.0,6,16.0,55,Low,Yes,No,"Lunch,Dinner",280
118,Beaten Rice with Milk,Beverage,210,8.0,34,6.0,58,Medium,No,Yes,"Breakfast,Snack",40
119,Lassi (Sweet),Beverage,180,7.0,30,4.0,65,Medium,No,Yes,"Breakfast,Snack",60
120,Juju Dhau (Bhaktapur Yogurt),Dairy,160,6.0,24,5.0,60,Medium,No,Yes,"Dessert,Snack",80
121,Boiled Egg (1 pc),Meat,78,6.0,1,5.0,0,Low,Yes,No,"Breakfast,Snack",25
122,Egg Bhurji,Meat,180,12.0,4,12.0,45,Low,Yes,No,Breakfast,60
123,Sukuti (Dried Meat Fry),Meat,220,22.0,2,12.0,50,Low,Yes,No,"Lunch,Dinner,Snack",120
124,Gundruk Sadeko,Vegetable,90,3.0,10,3.0,25,Low,Yes,Yes,"Lunch,Dinner,Snack",50
125,Mula Ko Achar (Radish Pickle),Vegetable,70,2.0,8,3.0,35,Low,Yes,Yes,"Lunch,Dinner,Snack",30
126,Lapsi Candy,Snack,110,0.0,28,0.2,70,High,No,Yes,Snack,30
127,Chiura with Aalu Sadeko,Meal,320,6.0,58,7.0,60,Medium,No,Yes,"Lunch,Dinner",70
128,Plain Chiura (Beaten Rice),Grain,200,4.0,44,2.0,60,Medium,No,Yes,"Breakfast,Lunch,Snack",40
129,Moong Dal Cheela,Grain,190,10.0,30,4.0,50,Low,Yes,Yes,Breakfast,70
130,Vegetable Omelette,Meat,190,14.0,4,12.0,45,Low,Yes,No,Breakfast,70
131,Curd Rice,Meal,260,7.0,46,5.0,65,Medium,No,Yes,"Lunch,Dinner",70
132,Lemon Rice,Meal,250,5.0,48,4.0,60,Medium,No,Yes,"Lunch,Dinner",70
133,Peanut Sadeko,Snack,190,8.0,10,14.0,35,Low,Yes,Yes,Snack,50
134,Til ko Laddu (Sesame Laddu),Dessert,180,5.0,20,9.0,65,Medium,No,Yes,"Dessert,Snack",50
135,Besan Laddu,Dessert,220,4.0,28,10.0,70,High,No,Yes,"Dessert,Snack",60
136,Rice Kheer,Dessert,210,6.0,32,7.0,75,High,No,Yes,"Dessert,Snack",70
137,Suji Halwa (Semolina Halwa),Dessert,230,4.0,32,10.0,75,High,No,Yes,"Dessert,Snack",60
138,Sabudana Khichdi,Meal,260,5.0,50,5.0,70,High,No,Yes,Breakfast,70
139,Palak Corn Curry,Vegetable,150,5.0,16,7.0,45,Low,Yes,Yes,"Lunch,Dinner",90
140,Bandel (Pork) Curry,Meat,280,20.0,4,20.0,55,Low,Yes,No,"Lunch,Dinner",300
141,Fish Fry (Less Oil),Meat,220,22.0,4,12.0,50,Low,Yes,No,"Lunch,Dinner",260
142,Pakoda (Vegetable Fritters),Snack,190,4.0,22,9.0,70,High,No,Yes,Snack,40
143,Samosa (2 pcs),Snack,260,6.0,30,12.0,70,High,No,Yes,Snack,50
144,Khaja Set Veg,Meal,520,16.0,70,18.0,60,Medium,No,Yes,"Lunch,Dinner",200
145,Khaja Set Non-Veg,Meal,580,24.0,68,22.0,60,Medium,No,No,"Lunch,Dinner",240
146,Vegetable Thali Set,Meal,600,20.0,90,18.0,58,Medium,No,Yes,"Lunch,Dinner",200
147,Chicken Thali Set,Meal,650,28.0,88,22.0,60,Medium,No,No,"Lunch,Dinner",260
148,Paneer Thukpa,Meal,300,14.0,44,8.0,55,Low,Yes,Yes,"Lunch,Dinner",150
149,Chicken Chowmein (Less Oil),Meal,340,16.0,52,9.0,58,Medium,No,No,"Lunch,Dinner",130
150,Mushroom Chowmein (Less Oil),Meal,330,12.0,54,8.0,58,Medium,No,Yes,"Lunch,Dinner",120
151,Vegetable Burger (Homemade),Meal,320,10.0,42,12.0,65,Medium,No,Yes,"Lunch,Dinner,Snack",120
152,Grilled Vegetable Sandwich,Meal,260,8.0,38,7.0,55,Low,Yes,Yes,"Breakfast,Snack",90
153,Chicken Sandwich,Meal,280,16.0,32,8.0,55,Low,Yes,No,"Breakfast,Snack",100
154,Mutton Sekuwa,Meat,260,24.0,4,16.0,55,Low,Yes,No,"Lunch,Dinner",260
155,Chicken Drumstick Roast,Meat,240,22.0,4,14.0,50,Low,Yes,No,"Lunch,Dinner",220
156,Grilled Paneer Sandwich,Meal,280,14.0,34,9.0,55,Low,Yes,Yes,"Breakfast,Snack",100
157,Boiled Potato (Plain),Vegetable,90,2.0,20,0.1,60,Medium,No,Yes,"Lunch,Dinner,Snack",30
158,Tarkari Aalu Bodi Tama,Meal,260,8.0,30,10.0,55,Low,Yes,Yes,"Lunch,Dinner",120
159,Gundruk Bhat Set,Meal,520,18.0,82,14.0,55,Low,Yes,Yes,"Lunch,Dinner",180
160,Ragi (Kodo) Roti,Grain,230,6.0,40,4.0,50,Low,Yes,Yes,"Breakfast,Lunch,Dinner",80
161,Buckwheat Dhido,Grain,220,7.0,42,3.0,50,Low,Yes,Yes,"Lunch,Dinner",100
162,Millet Roti (Kodo Roti),Grain,210,6.0,40,3.0,50,Low,Yes,Yes,"Breakfast,Lunch,Dinner",80
163,Sattu Paratha,Grain,260,10.0,42,8.0,55,Low,Yes,Yes,Breakfast,80
164,Chickpea Salad,Vegetable,150,7.0,22,4.0,45,Low,Yes,Yes,"Lunch,Dinner,Snack",70
165,Cornflakes with Milk,Meal,220,7.0,40,4.0,75,High,No,Yes,Breakfast,70
166,Masala Oats,Meal,210,7.0,34,5.0,60,Medium,No,Yes,Breakfast,60
167,Multigrain Roti (2 pcs),Grain,240,8.0,44,3.0,52,Low,Yes,Yes,"Lunch,Dinner",60
168,Paneer Bhurji,Meat,210,14.0,6,14.0,45,Low,Yes,Yes,"Breakfast,Lunch",90
169,Mixed Dal (Thick),Legume,200,14.0,26,4.0,35,Low,Yes,Yes,"Lunch,Dinner",100
170,Vegetable Kurkure (Baked),Snack,150,3.0,20,6.0,70,High,No,Yes,Snack,40
171,Rice Flakes Mixture (Chiura Mix),Snack,190,5.0,32,5.0,65,Medium,No,Yes,Snack,40
172,Spiced Buttermilk,Beverage,65,3.0,8,2.0,30,Low,Yes,Yes,"Breakfast,Snack",30
173,Black Tea with Milk,Beverage,40,1.0,6,1.0,35,Low,Yes,Yes,"Breakfast,Snack",20
174,Lemon Honey Tea,Beverage,45,0.0,10,0.0,70,High,No,Yes,"Breakfast,Snack",30
175,Masala Milk,Beverage,160,6.0,18,6.0,55,Low,Yes,Yes,"Breakfast,Snack",60
176,Fresh Lime Soda (Sweet),Beverage,80,0.0,20,0.0,75,High,No,Yes,Snack,40
177,Sugarcane Juice,Beverage,120,0.0,30,0.0,75,High,No,Yes,Snack,50
178,Hot Chocolate,Beverage,180,6.0,26,7.0,75,High,No,Yes,"Dessert,Snack",90
179,Plain Yogurt (Dahi),Dairy,90,5.0,8,3.0,40,Low,Yes,Yes,"Breakfast,Snack",70
180,Flavoured Yogurt Cup,Dairy,140,5.0,24,3.0,65,Medium,No,Yes,"Dessert,Snack",80
181,Cheese Slice (1 pc),Dairy,70,4.0,1,6.0,0,Low,Yes,No,"Lunch,Dinner,Snack",40
182,Paneer Curry (Rich Gravy),Dairy,260,14.0,10,18.0,50,Low,Yes,Yes,"Lunch,Dinner",220
183,Alu Paratha with Butter,Grain,380,9.0,50,16.0,60,Medium,No,Yes,Breakfast,90
184,Stuffed Paratha (Mixed Veg),Grain,320,8.0,50,10.0,58,Medium,No,Yes,Breakfast,80
185,Stuffed Paratha (Paneer),Grain,340,12.0,48,12.0,58,Medium,No,Yes,Breakfast,90
186,Carrot Halwa,Dessert,240,4.0,32,10.0,75,High,No,Yes,"Dessert,Snack",80
187,Rice Pudding with Dry Fruits,Dessert,260,7.0,34,10.0,78,High,No,Yes,"Dessert,Snack",90
188,Makai Roti (Corn Roti),Grain,230,6.0,42,4.0,55,Low,Yes,Yes,"Lunch,Dinner",80
189,Garlic Naan,Grain,260,8.0,46,6.0,65,Medium,No,Yes,"Lunch,Dinner",90
190,Tandoori Roti,Grain,210,7.0,38,3.0,55,Low,Yes,Yes,"Lunch,Dinner",70
191,Plain Rice (1 bowl),Grain,200,4.0,44,0.5,72,High,No,Yes,"Lunch,Dinner",40
192,Basmati Rice (1 bowl),Grain,190,4.0,42,0.5,68,High,No,Yes,"Lunch,Dinner",50
193,Fried Egg (1 pc),Meat,110,7.0,1,8.0,0,Low,Yes,No,Breakfast,40
194,Chicken Fry (Less Oil),Meat,240,22.0,4,14.0,55,Low,Yes,No,"Lunch,Dinner",220
195,Spicy Potato Wedges,Snack,200,4.0,30,8.0,70,High,No,Yes,Snack,60
196,Mixed Sprouts Chaat,Snack,160,8.0,24,3.0,45,Low,Yes,Yes,Snack,60
197,Roasted Chana,Snack,120,6.0,20,2.0,28,Low,Yes,Yes,Snack,30
198,Boiled Sweet Corn Cup,Snack,120,4.0,26,1.5,55,Low,Yes,Yes,Snack,40
199,Steamed Idli with Sambar,Meal,260,9.0,44,4.0,60,Medium,No,Yes,Breakfast,80
200,Upma with Vegetables,Meal,240,6.0,40,6.0,60,Medium,No,Yes,Breakfast,70
201,Kheer (Rice Pudding),Dessert,220,6.0,34,7.0,75,High,No,Yes,"Dessert,Snack",70
202,Moong Dal Halwa,Dessert,260,8.0,32,12.0,75,High,No,Yes,"Dessert,Snack",80
203,Bara (Newari Lentil Patty),Snack,210,10.0,26,8.0,60,Medium,No,Yes,"Breakfast,Snack",50
204,Aalu Chop (Potato Fritter),Snack,190,4.0,26,8.0,70,High,No,Yes,Snack,30
205,Pakauda Mix (Vegetable Pakoda),Snack,230,6.0,24,12.0,70,High,No,Yes,Snack,40
206,Sel Roti with Aalu Tarkari,Meal,360,8.0,60,10.0,70,High,No,Yes,"Breakfast,Snack",60
207,Kodo Ko Roti with Aalu,Meal,340,8.0,54,9.0,60,Medium,No,Yes,Breakfast,60
208,Spinach Corn Sandwich,Meal,260,9.0,34,8.0,55,Low,Yes,Yes,"Breakfast,Snack",90
209,Masala Dalia (Broken Wheat Porridge),Meal,200,7.0,34,3.0,55,Low,Yes,Yes,Breakfast,50
210,Besan Chilla with Veggies,Meal,210,9.0,30,6.0,55,Low,Yes,Yes,Breakfast,60
211,Stuffed Capsicum (Paneer),Vegetable,190,8.0,10,12.0,45,Low,Yes,Yes,"Lunch,Dinner",90
212,Paneer Bhujia,Meat,220,14.0,8,14.0,45,Low,Yes,Yes,"Lunch,Dinner",100
213,Mushroom Masala,Vegetable,180,6.0,16,10.0,50,Low,Yes,Yes,"Lunch,Dinner",100
214,Mixed Veg Kurma,Vegetable,210,5.0,18,14.0,55,Low,Yes,Yes,"Lunch,Dinner",110
215,Palak Paneer with Cream,Dairy,240,10.0,14,16.0,50,Low,Yes,Yes,"Lunch,Dinner",140
216,Chana Masala (Spicy),Legume,220,11.0,28,7.0,55,Low,Yes,Yes,"Lunch,Dinner",90
217,Masoor Dal Fry,Legume,200,12.0,24,6.0,45,Low,Yes,Yes,"Lunch,Dinner",80
218,Rajma Masala,Legume,230,14.0,28,7.0,55,Low,Yes,Yes,"Lunch,Dinner",90
219,Vegetable Biryani,Meal,380,8.0,68,8.0,60,Medium,No,Yes,"Lunch,Dinner",130
220,Chicken Biryani,Meal,450,18.0,70,14.0,65,Medium,No,No,"Lunch,Dinner",160
221,Mutton Biryani,Meal,480,20.0,68,18.0,65,Medium,No,No,"Lunch,Dinner",190
222,Fish Curry (Rich Gravy),Meat,260,20.0,6,16.0,55,Low,Yes,No,"Lunch,Dinner",220
223,Paneer Butter Masala,Dairy,280,12.0,14,20.0,60,Medium,No,Yes,"Lunch,Dinner",200
224,Chicken Butter Masala,Meat,320,22.0,10,20.0,60,Medium,No,No,"Lunch,Dinner",240
225,Schezwan Veg Fried Rice,Meal,380,8.0,70,8.0,65,Medium,No,Yes,"Lunch,Dinner",130
226,Schezwan Chicken Fried Rice,Meal,420,18.0,68,12.0,65,Medium,No,No,"Lunch,Dinner",150
227,Curd with Fruits Bowl,Dairy,180,7.0,26,5.0,60,Medium,No,Yes,"Breakfast,Snack",80
228,Milkshake (Banana),Beverage,210,6.0,36,6.0,70,High,No,Yes,"Breakfast,Snack",70
229,Fruit Custard Bowl,Dessert,220,5.0,32,8.0,70,High,No,Yes,"Dessert,Snack",80
230,Muesli with Milk,Meal,230,8.0,36,6.0,60,Medium,No,Yes,Breakfast,80
231,Oatmeal with Dry Fruits,Meal,240,8.0,34,8.0,60,Medium,No,Yes,Breakfast,80
232,Protein Smoothie (Soy Milk),Beverage,200,12.0,20,7.0,55,Low,Yes,Yes,"Breakfast,Snack",90
233,Lemon Coriander Soup,Meal,60,2.0,8,2.0,40,Low,Yes,Yes,"Lunch,Dinner",60
234,Tomato Basil Soup,Meal,80,3.0,12,2.0,45,Low,Yes,Yes,"Lunch,Dinner",70
235,Sweet Lassi,Beverage,220,7.0,36,6.0,70,High,No,Yes,"Breakfast,Snack",70
236,Masala Chaas (Spiced Buttermilk),Beverage,70,3.0,8,2.0,35,Low,Yes,Yes,"Breakfast,Snack",30
237,Coconut Water,Beverage,45,0.0,11,0.0,55,Low,Yes,Yes,"Snack,Breakfast",60
238,Fresh Orange Juice,Beverage,110,2.0,26,0.2,60,Medium,No,Yes,"Breakfast,Snack",70
239,Mango Shake,Beverage,230,7.0,38,6.0,75,High,No,Yes,"Breakfast,Snack",80
240,Black Chana Curry,Legume,210,12.0,28,6.0,50,Low,Yes,Yes,"Lunch,Dinner",90
241,Green Peas Curry,Vegetable,170,7.0,20,7.0,45,Low,Yes,Yes,"Lunch,Dinner",80
242,Stuffed Karela (Bitter Gourd),Vegetable,150,5.0,14,8.0,45,Low,Yes,Yes,"Lunch,Dinner",80
243,Lauka Kofta (Bottle Gourd Kofta),Vegetable,220,6.0,16,14.0,55,Low,Yes,Yes,"Lunch,Dinner",100
244,Beetroot Sabji,Vegetable,120,3.0,16,4.0,45,Low,Yes,Yes,"Lunch,Dinner",70
245,Mixed Lentil Soup,Meal,160,10.0,22,4.0,40,Low,Yes,Yes,"Lunch,Dinner",80
246,Vegetable Manchurian (Dry),Snack,200,6.0,20,10.0,70,High,No,Yes,Snack,80
247,Vegetable Manchurian with Gravy,Meal,260,7.0,26,12.0,70,High,No,Yes,"Lunch,Dinner",110
248,Paneer Manchurian,Dairy,280,14.0,18,18.0,70,High,No,Yes,"Lunch,Dinner",150
249,Fruit Bowl (Seasonal Mix),Fruit,130,2.0,32,0.5,55,Low,Yes,Yes,"Breakfast,Snack",80
250,Ragi Porridge,Meal,190,6.0,32,3.0,50,Low,Yes,Yes,Breakfast,60
